//ID,NAME,JNAME,TYPE,PRICE,SELL,WEIGHT,HP1,HP2,SP1,SP2,EFFECT
501,Red_Potion,Red_Potion,0,50,0,70,45,65,0,0,0
502,Orange_Potion,Orange_Potion,0,100,0,100,105,145,0,0,0
503,Yellow_Potion,Yellow_Potion,0,550,0,130,175,235,0,0,0
504,White_Potion,White_Potion,0,1200,0,150,325,405,0,0,0
505,Blue_Potion,Blue_Potion,0,5000,0,150,0,0,60,80,0
506,Green_Potion,Green_Potion,0,40,0,60,0,0,0,0,21
507,Red_Herb,Red_Herb,0,18,0,40,18,28,0,0,0
508,Yellow_Herb,Yellow_Herb,0,40,0,70,38,58,0,0,0
509,White_Herb,White_Herb,0,120,0,50,75,115,0,0,0
510,Blue_Herb,Blue_Herb,0,60,0,90,0,0,15,30,0
511,Green_Herb,Green_Herb,0,10,0,20,0,0,0,0,1
512,Apple,Apple,0,15,0,30,16,22,0,0,0
513,Banana,Banana,0,15,0,30,17,21,0,0,0
514,Grape,Grape,0,200,0,30,0,0,10,15,0
515,Carrot,Carrot,0,15,0,30,18,20,0,0,0
516,Sweet_Potato,Sweet_Potato,0,15,0,30,15,23,0,0,0
517,Meat,Meat,0,55,0,200,70,100,0,0,0
518,Honey,Honey,0,500,0,150,70,100,20,40,0
519,Milk,Milk,0,25,0,50,27,37,0,0,0
520,Leaflet_of_Hinalle,Leaflet_of_Hinalle,0,150,0,10,60,140,0,0,0
521,Leaflet_of_Aloe,Leaflet_of_Aloe,0,360,0,10,135,175,0,0,0
522,Fruit_of_Mastela,Fruit_of_Mastela,0,840,0,50,400,600,0,0,0
523,Holy_Water,Holy_Water,0,20,0,100,0,0,0,0,2
525,Panacea,Panacea,0,500,0,200,0,0,0,0,31
526,Royal_Jelly,Royal_Jelly,0,1200,0,100,210,290,0,0,31
528,Monster's_Feed,Monster's_Feed,0,60,0,200,72,108,0,0,0
529,Candy,Candy,0,125,0,20,45,65,0,0,0
530,Candy_Striper,Candy_Striper,0,200,0,30,105,145,0,0,0
531,Apple_Juice,Apple_Juice,0,20,0,50,25,35,0,0,0
532,Banana_Juice,Banana_Juice,0,20,0,50,26,34,0,0,0
533,Grape_Juice,Grape_Juice,0,250,0,50,0,0,15,25,0
534,Carrot_Juice,Carrot_Juice,0,20,0,50,27,33,0,0,0
535,Pumpkin,Pumpkin,0,15,0,30,19,19,0,0,0
536,Ice_Cream,Ice_Cream,0,100,0,100,105,145,0,0,0
537,Pet_Food,Pet_Food,0,200,0,50,50,90,0,0,0
538,Well_baked_Cookie,Well_baked_Cookie,0,500,0,30,160,200,0,0,0
539,Piece_of_Cake,Piece_of_Cake,0,800,0,100,270,330,0,0,0
540,Falcon_food,Falcon_food,0,800,0,50,270,330,0,0,0
541,Pecopeco_food,Pecopeco_food,0,1200,0,50,325,405,0,0,0
542,Festive_Cookie,Festive_Cookie,0,1200,0,10,325,405,0,0,0
543,Festive_Rainbow_Cake,Festive_Rainbow_Cake,0,1200,0,10,325,405,0,0,0
544,Fish_Slice,Fish_Slice,0,20,0,50,25,60,0,0,0
545,Red_Slim_Potion,Red_Slim_Potion,0,150,0,50,45,65,0,0,0
546,Yellow_Slim_Potion,Yellow_Slim_Potion,0,600,0,80,175,235,0,0,0
547,White_Slim_Potion,White_Slim_Potion,0,1200,0,100,325,405,0,0,0
548,Cheese,Cheese,0,200,0,120,0,0,10,15,0
549,Chestnut_Sweet_Potato,Chestnut_Sweet_Potato,0,180,0,80,50,100,0,0,0
550,Popped_Rice,Popped_Rice,0,15,0,20,10,15,0,0,0
551,Sushi,Sushi,0,225,0,50,100,165,0,0,0
552,Ketupat,Ketupat,0,425,0,50,150,215,0,0,0
553,Dumplings,Dumplings,0,0,0,50,40,90,0,0,0
554,Chestnut,Chestnut,0,50,0,80,30,75,0,0,0
555,Rice_Cake,Rice_Cake,0,50,0,20,30,75,0,0,0
556,Rolled_Rice,Rolled_Rice,0,50,0,10,30,75,0,0,0
557,Cut_Rice_Rolls,Cut_Rice_Rolls,0,50,0,10,30,75,0,0,0
558,Chocolate,Chocolate,0,50,0,20,30,75,0,0,0
559,Dark_Chocolate_Cake,Dark_Chocolate_Cake,0,50,0,80,30,75,0,0,0
560,White_Chocolate_Cake,White_Chocolate_Cake,0,50,0,80,30,75,0,0,0
561,White_Choclate,White_Choclate,0,50,0,80,30,75,0,0,0
562,Double_Layer_Swiss_Pizza,Double_Layer_Swiss_Pizza,0,50,0,150,30,75,0,0,0
563,Double_Layer_Swiss_Pizza_,Double_Layer_Swiss_Pizza_,0,50,0,150,30,75,0,0,0
564,Rice_Ball,Rice_Ball,0,50,0,100,30,75,0,0,0
565,Vita500,Vita501,0,50,0,100,30,75,0,0,0
566,Tom_Yum_Goong,Tom_Yum_Goong,0,55,0,150,40,95,0,0,0
567,Shrimp,Shrimp,0,500,0,150,40,95,0,0,0
568,Lemon,Lemon,0,55,0,150,40,95,0,0,0
569,Novice_Potion,Novice_Potion,0,0,0,1,15,35,0,0,0
570,Lucky_Candy,Lucky_Candy,0,50,0,250,0,0,0,0,0
571,Lucky_Candy_Cane,Lucky_Candy_Cane,0,50,0,250,0,0,0,0,0
572,Lucky_Cookie,Lucky_Cookie,0,50,0,250,0,0,0,0,0
573,Chocolate_Drink,Chocolate_Drink,0,50,0,250,0,0,0,0,0
574,Egg,Egg,0,20,0,30,16,22,0,0,0
575,2nd_Annual_Commemoration_Cake,2nd_Annual_Commemoration_Cake,0,50,0,250,0,0,0,0,0
601,Wing_of_Fly,Wing_of_Fly,2,60,1,50,0,0,0,0,2
