//ID,NAME,JNAME,TYPE,PRICE,SELL,WEIGHT
701,Ora_Ora,Ora_Ora,3,1000,0,200
702,Animal_Blood,Animal_Blood,3,2,0,100
703,Hinalle,Hinalle,3,2,0,10
704,Aloe,Aloe,3,2,0,10
705,Clover,Clover,3,10,0,10
706,Four_Leaf_Clover,Four_leaf_Clover,3,2,0,10
707,Singing_Plant,Singing_Plant,3,2,0,10
708,Ment,Ment,3,2,0,10
709,Izidor,Izidor,3,2,0,10
710,Illusion_Flower,Illusion_Flower,3,2,0,10
711,Shoot,Shoot,3,2,0,10
712,Flower,Flower,3,2,0,10
713,Empty_Bottle,Empty_Bottle,3,5,0,20
714,Emperium,Emperium,3,2,0,1000
715,Yellow_Gemstone,Yellow_Gemstone,3,600,0,30
716,Red_Gemstone,Red_Gemstone,3,700,0,30
717,Blue_Gemstone,Blue_Gemstone,3,600,0,30
718,Garnet,Dark_red_Jewel,3,5000,0,100
719,Amethyst,Violet_Jewel,3,5000,0,100
720,Aquamarine,Skyblue_Jewel,3,5000,0,100
721,Emerald,Azure_Jewel,3,5000,0,100
722,Pearl,Scarlet_Jewel,3,5000,0,100
723,Ruby,Cardinal_Jewel,3,5000,0,100
724,Cursed_Ruby,Cardinal_Jewel_,3,500,0,100
725,Sardonyx,Red_Jewel,3,5000,0,100
726,Blue_Jewel,Blue_Jewel,3,5000,0,100
727,Sapphire,White_Jewel,3,5000,0,100
728,Topaz,Golden_Jewel,3,5000,0,100
729,Zircon,Bluish_green_Jewel,3,5000,0,100
730,1_Carat_Diamond,Crystal_Jewel,3,10000,0,100
731,2_Carat_Diamond,Crystal_Jewel_,3,25000,0,100
732,3_Carat_Diamond,Crystal_Jewel__,3,55000,0,100
733,Cracked_Diamond,Crystal_Jewel___,3,10,0,100
734,Red_Frame,Red_Frame,3,3000,0,200
735,Chung_Jah,Blue_Porcelain,3,5000,0,500
736,China,White_Platter,3,1000,0,300
737,Black_Ladle,Black_Ladle,3,500,0,50
738,Pencil_Case,Pencil_Case,3,300,0,100
739,Rouge,Rouge,3,10000,0,10
740,Puppet,Stuffed_Doll,3,3000,0,100
741,Poring_Doll,Poring_Doll,3,1000,0,100
742,Chonchon_Doll,Chonchon_Doll,3,1800,0,100
743,Spore_Doll,Spore_Doll,3,5000,0,100
744,Bouquet,Bunch_of_Flowers,3,2000,0,50
745,Wedding_Bouquet,Wedding_Bouquet,3,10000,0,50
746,Glass_Bead,Glass_Bead,3,1500,0,50
747,Crystal_Mirror,Crystal_Mirror,3,30000,0,50
748,Witherless_Rose,Witherless_Rose,3,50000,0,10
749,Frozen_Rose,Frozen_Rose,3,35000,0,10
750,Baphomet_Doll,Baphomet_Doll,3,6000,0,100
751,Osiris_Doll,Osiris_Doll,3,6000,0,100
752,Grasshopper_Doll,Grasshopper_Doll,3,4000,0,100
753,Yoyo_Doll,Monkey_Doll,3,7000,0,100
754,Smokie_Doll,Raccoondog_Doll,3,7000,0,100
