//ID,NAME,JNAME,TYPE,PRICE,SELL,WEIGHT,ATK,MATK,DEF,MDEF,RANGE,SLOT,JOB,GENDER,LOC,WLV,ELV,VIEW,ELEMENT,EFFECT
1101,Sword,Sword,4,100,0,500,25,0,0,0,1,3,6371,2,2,1,2,2,0,0
1102,Sword_,Sword,4,100,0,500,25,0,0,0,1,4,6371,2,2,1,2,2,0,0
1103,Sword__,Sword,4,100,0,500,25,0,0,0,1,0,6371,2,2,1,2,2,0,0
1104,Falchion,Falchion,4,1500,0,600,39,0,0,0,1,3,6371,2,2,1,2,2,0,0
1105,Falchion_,Falchion,4,1500,0,600,39,0,0,0,1,4,6371,2,2,1,2,2,0,0
1106,Falchion__,Falchion,4,1500,0,600,39,0,0,0,1,0,6371,2,2,1,2,2,0,0
1107,Blade,Blade,4,2900,0,700,53,0,0,0,1,3,6371,2,2,1,2,2,0,0
1108,Blade_,Blade,4,2900,0,700,53,0,0,0,1,4,6371,2,2,1,2,2,0,0
1109,Blade__,Blade,4,2900,0,700,53,0,0,0,1,0,6371,2,2,1,2,2,0,0
1110,Lapier,Lapier,4,10000,0,500,70,0,0,0,1,2,6371,2,2,2,14,2,0,0
1111,Lapier_,Lapier,4,10000,0,500,70,0,0,0,1,3,6371,2,2,2,14,2,0,0
1112,Lapier__,Lapier,4,10000,0,500,70,0,0,0,1,0,6371,2,2,2,14,2,0,0
1113,Scimiter,Scimiter,4,17000,0,700,85,0,0,0,1,2,6371,2,2,2,14,2,0,0
1114,Scimiter_,Scimiter,4,17000,0,700,85,0,0,0,1,3,6371,2,2,2,14,2,0,0
1115,Scimiter__,Scimiter,4,17000,0,700,85,0,0,0,1,3,6371,2,2,2,14,2,0,0
1116,Katana,Katana,4,2000,0,1000,60,0,0,0,1,3,130,2,34,1,4,3,0,0
1117,Katana_,Katana,4,2000,0,1000,60,0,0,0,1,4,130,2,34,1,4,3,0,0
1118,Katana__,Katana,4,2000,0,1000,60,0,0,0,1,0,130,2,34,1,4,3,0,0
1119,Tsurugi,Tsurugi,4,51000,0,1200,130,0,0,0,1,1,6371,2,2,3,27,2,0,0
1120,Tsurugi_,Tsurugi,4,51000,0,1200,130,0,0,0,1,2,6371,2,2,3,27,2,0,0
1121,Tsurugi__,Tsurugi,4,51000,0,1200,130,0,0,0,1,0,6371,2,2,3,27,2,0,0
1122,Ring_pommel_Saber,"Ring Pommel Saber",4,24000,0,900,100,0,0,0,1,2,6371,2,2,2,14,2,0,0
1123,Haedonggum,Haedonggum,4,50000,0,900,120,0,0,0,1,1,6371,2,2,3,27,2,0,0
1124,Orcish_sword,"Orcish Sword",4,20,0,800,90,0,0,0,1,0,6371,2,2,4,40,2,0,0
1125,Ring_pommel_Saber_,"Ring Pommel Saber",4,24000,0,900,100,0,0,0,1,3,6371,2,2,2,14,2,0,0
1126,Saber,Saber,4,49000,0,1000,115,0,0,0,1,2,6371,2,2,3,27,2,0,0
1127,Saber_,Saber,4,49000,0,1000,115,0,0,0,1,3,6371,2,2,3,27,2,0,0
1128,Haedonggum_,Haedonggum,4,50000,0,900,120,0,0,0,1,2,6371,2,2,3,27,2,0,0
1129,Flamberge,Flamberge,4,60000,0,1500,150,0,0,0,1,0,6371,2,2,3,27,2,0,0
1130,Nagan,Nagan,4,20,0,500,120,0,0,0,1,0,6371,2,2,4,40,2,0,0
1131,Ice_Falchion,"Ice Falchion",4,20,0,600,100,0,0,0,1,0,6371,2,2,4,40,2,1,0
1132,Edge,Edge,4,20,0,700,115,0,0,0,1,0,6371,2,2,4,40,2,0,0
1133,Fire_Brand,"Fire Brand",4,20,0,500,100,0,0,0,1,0,6371,2,2,4,40,2,3,0
1134,Ceasar's_Sword,"Caesar's Sword",4,20,0,700,140,0,0,0,1,0,6371,2,2,4,40,2,0,0
1135,Cutlas,Cutlas,4,20,0,900,150,0,1,0,1,0,6371,2,2,4,40,2,0,0
1136,Solar_Sword,"Solar Sword",4,20,0,1200,85,0,0,0,1,0,6371,2,2,4,40,2,3,0
1137,Excalibur,Excalibur,4,20,0,1200,150,0,0,0,1,0,6371,2,2,4,40,2,6,0
1138,Mysteltain,Mysteltain,4,20,0,1000,170,0,0,0,1,0,6371,2,2,4,40,2,7,0
1139,Talefing,Talefing,4,20,0,1000,200,0,0,0,1,0,6371,2,2,4,40,2,7,0
1140,Byeollungum,Byeollungum,4,20,0,900,150,0,0,0,1,0,6371,2,2,4,40,2,0,0
1141,Immaterial_Sword,"Immaterial Sword",4,20,0,900,140,0,0,0,1,0,6371,2,2,4,40,2,8,0
1142,Crystal_Sword,"Crystal Sword",4,20,0,2200,104,0,0,0,1,0,6371,2,2,3,68,2,0,0
1143,Gaea_Sword,"Gaea Sword",4,20,0,2500,115,0,0,0,1,0,6371,2,2,3,74,2,0,0
1144,Strabismus,Strabismus,4,20,0,1400,75,0,0,0,1,0,6371,2,2,3,48,2,4,0
1145,Holy_Avenger,Holy_Avenger,4,450000,225000,135,125,0,0,0,0,0,16384,2,2,4,75,2,6,0
1151,Slayer,Slayer,4,15000,0,1300,90,0,0,0,1,2,130,2,34,2,18,3,0,0
1152,Slayer_,Slayer,4,15000,0,1300,90,0,0,0,1,3,130,2,34,2,18,3,0,0
1153,Slayer__,Slayer,4,15000,0,1300,90,0,0,0,1,0,130,2,34,2,18,3,0,0
1154,Bastard_Sword,"Bastard Sword",4,22500,0,1600,115,0,0,0,1,2,130,2,34,2,18,3,0,0
1155,Bastard_Sword_,"Bastard Sword",4,22500,0,1600,115,0,0,0,1,3,130,2,34,2,18,3,0,0
1156,Bastard_Sword__,"Bastard Sword",4,22500,0,1600,115,0,0,0,1,0,130,2,34,2,18,3,0,0
1157,Two_hand_Sword,"Two Handed Sword",4,60000,0,2200,160,0,0,0,1,1,130,2,34,3,33,3,0,0
1158,Two_hand_Sword_,"Two Handed Sword",4,60000,0,2200,160,0,0,0,1,2,130,2,34,3,33,3,0,0
1159,Two_hand_Sword__,"Two Handed Sword",4,60000,0,2200,160,0,0,0,1,0,130,2,34,3,33,3,0,0
1160,Broad_Sword,"Broad Sword",4,65000,0,2000,140,0,5,0,1,1,130,2,34,3,33,3,0,0
1161,Balmung,Balmung,4,20,10,100,250,0,0,0,2,0,6371,2,2,4,1,1,0,0
1162,Broad_Sword_,"Broad Sword",4,65000,0,2000,140,0,5,0,1,2,130,2,34,3,33,3,0,0
1163,Claymore,Claymore,4,74000,0,2500,180,0,0,0,1,0,128,2,34,3,33,3,0,0
1164,Muramasa,Muramasa,4,20,0,1000,155,0,0,0,1,0,130,2,34,4,48,3,0,0
1165,Masamune,Masamune,4,20,0,1000,200,0,0,0,1,0,130,2,34,4,48,3,0,0
1166,Dragon_Slayer,"Dragon Slayer",4,20,0,1300,150,0,0,0,1,0,130,2,34,4,48,3,0,0
1167,Schweizersabel,Schweizersabel,4,20,0,1600,160,0,1,0,1,0,130,2,34,4,48,3,4,0
1168,Zweihander,Zweihander,4,20,0,2200,200,0,0,0,1,0,130,2,34,4,48,3,0,0
1169,Executioner,Executioner,4,20,0,2200,155,0,0,0,1,0,130,2,34,4,48,3,7,0
1170,Katzbalger,Katabalger,4,20,0,2000,175,0,10,0,1,0,130,2,34,4,48,3,0,0
1201,Knife,Knife,4,50,0,400,17,0,0,0,1,3,7151,2,2,1,1,1,0,0
1202,Knife_,Knife,4,50,0,400,17,0,0,0,1,4,7151,2,2,1,1,1,0,0
1203,Knife__,Knife,4,50,0,400,17,0,0,0,1,0,7151,2,2,1,1,1,0,0
1204,Cutter,Cutter,4,1250,0,500,30,0,0,0,1,3,7151,2,2,1,1,1,0,0
1205,Cutter_,Cutter,4,1250,0,500,30,0,0,0,1,4,7151,2,2,1,1,1,0,0
1206,Cutter__,Cutter,4,1250,0,500,30,0,0,0,1,0,7151,2,2,1,1,1,0,0
1207,Main_gauche,"Main Gauche",4,2400,0,600,43,0,0,0,1,3,7151,2,2,1,1,1,0,0
1208,Main_gauche_,"Main Gauche",4,2400,0,600,43,0,0,0,1,4,7151,2,2,1,1,1,0,0
1209,Main_gauche__,"Main Gauche",4,2400,0,600,43,0,0,0,1,0,7151,2,2,1,1,1,0,0
1210,Dirk,Dirk,4,8500,0,500,59,0,0,0,1,2,7151,2,2,2,12,1,0,0
1211,Dirk_,Dirk,4,8500,0,500,59,0,0,0,1,3,7151,2,2,2,12,1,0,0
1212,Dirk__,Dirk,4,8500,0,500,59,0,0,0,1,0,7151,2,2,2,12,1,0,0
1213,Dagger,Dagger,4,14000,0,600,73,0,0,0,1,2,7151,2,2,2,12,1,0,0
1214,Dagger_,Dagger,4,14000,0,600,73,0,0,0,1,3,7151,2,2,2,12,1,0,0
1215,Dagger__,Dagger,4,14000,0,600,73,0,0,0,1,0,7151,2,2,2,12,1,0,0
1216,Stiletto,Stiletto,4,19500,0,700,87,0,0,0,1,2,7151,2,2,2,12,1,0,0
1217,Stiletto_,Stiletto,4,19500,0,700,87,0,0,0,1,3,7151,2,2,2,12,1,0,0
1218,Stiletto__,Stiletto,4,19500,0,700,87,0,0,0,1,0,7151,2,2,2,12,1,0,0
1219,Gladius,Gladious,4,43000,0,700,105,0,0,0,1,2,7151,2,2,3,24,1,0,0
1220,Gladius_,Gladious,4,43000,0,700,105,0,0,0,1,3,7151,2,2,3,24,1,0,0
1221,Gladius__,Gladious,4,43000,0,700,105,0,0,0,1,0,7151,2,2,3,24,1,0,0
1222,Damascus,Damascus,4,49000,0,800,118,0,0,0,1,1,7151,2,2,3,24,1,0,0
1223,Fortune_Sword,"Fortune Sword",4,20,0,500,90,0,0,0,1,0,7151,2,2,4,36,1,0,0
1224,Sword_Breaker,"Sword Breaker",4,20,0,1000,70,0,0,0,1,0,7151,2,2,4,36,1,0,0
1225,Mail_Breaker,"Mail Breaker",4,20,0,1000,70,0,0,0,1,0,7151,2,2,4,36,1,0,0
1226,Damascus_,Damascus,4,49000,0,800,118,0,0,0,1,2,7151,2,2,3,24,1,0,0
1227,Weeder_Knife,"Weeder Knife",4,20,0,400,80,0,0,0,1,0,7151,2,2,4,36,1,0,0
1228,Combat_Knife,"Combat Knife",4,20,0,400,80,0,0,0,1,0,7151,2,2,4,36,1,0,0
1229,Mama's_Knife,"Mama's Knife",4,20,0,500,75,0,0,0,1,0,7151,2,2,4,36,1,0,0
1230,House_Auger,"House Auger",4,20,0,600,80,0,0,0,1,0,7151,2,2,4,36,1,0,0
1231,Bazerald,Bazerald,4,20,0,500,70,1010,0,0,1,0,7151,2,2,4,36,1,3,0
1232,Assassin_Dagger,"Assassin Dagger",4,20,0,600,140,0,0,0,1,0,7151,2,2,4,36,1,7,0
1233,Exercise,Exercise,4,20,0,700,90,0,0,0,1,0,7151,2,2,4,36,1,0,0
1234,Moonlight_Sword,Walgwanggum,4,20,0,700,50,0,0,0,1,0,7151,2,2,4,36,1,0,0
1235,Azoth,Azoth,4,20,0,700,110,0,0,0,1,0,7151,2,2,4,36,1,0,0
1236,Sucsamad,Sucsamad,4,20,0,800,140,0,0,0,1,0,7151,2,2,4,36,1,0,0
1237,Grimtooth,Grimtooth,4,20,0,800,180,0,0,0,1,0,7151,2,2,4,36,1,0,0
1238,Zeny_Knife,"Zeny Knife",4,20,0,1200,64,0,0,0,1,0,7151,2,2,3,40,1,0,0
1239,Poison_Knife,"Poison Knife",4,20,0,800,64,0,0,0,1,0,7151,2,2,3,65,1,0,0
1240,Princess_Knife,"Princess Knife",4,2,0,400,84,0,0,0,1,0,7151,2,2,4,1,1,0,0
1241,Cursed_Knife,"Cursed Knife",4,20,10,400,55,0,0,0,1,0,4,2,2,4,85,1,0,0
1242,Counter_Knife,"Counter Knife",4,20,10,550,45,0,0,0,1,0,7150,2,2,4,55,1,0,0
1243,Main_Gauche_For_Novice,"Main Gauche For Novice",4,1,1,10,45,0,0,0,1,0,8388609,2,2,1,1,1,0,0
1244,Jewel_Dagger,"Jewel Dagger",4,1,1,10,45,0,0,0,1,0,8388609,2,2,1,1,1,0,0
1250,Jur,Jur,4,19500,0,800,125,0,0,0,1,2,4096,2,34,2,18,16,0,0
1251,Jur_,Jur,4,19500,0,800,125,0,0,0,1,3,4096,2,34,2,18,16,0,0
1252,Katar,Katar,4,41000,0,1200,148,0,0,0,1,1,4096,2,34,3,33,16,0,0
1253,Katar_,Katar,4,41000,0,1200,148,0,0,0,1,2,4096,2,34,3,33,16,0,0
1254,Jamadhar,Jamadhar,4,37200,0,1500,165,0,0,0,1,0,4096,2,34,3,33,16,0,0
1255,Jamadhar_,Jamadhar,4,37200,0,1500,165,0,0,0,1,1,4096,2,34,3,33,16,0,0
1256,Katar_of_Cold_Icicle,"Katar of Cold Icicle",4,45000,0,1200,105,0,0,0,1,0,4096,2,34,3,55,16,1,0
1257,Katar_of_Thornbush,"Katar of Dusty Thornbush",4,45000,0,1200,105,0,0,0,1,0,4096,2,34,3,55,16,2,0
1258,Katar_of_Raging_Blaze,"Katar of Raging Blaze",4,45000,0,1200,105,0,0,0,1,0,4096,2,34,3,55,16,3,0
1259,Katar_of_Piercing_Wind,"Katar of Piercing Wind",4,45000,0,1200,105,0,0,0,1,0,4096,2,34,3,55,16,4,0
1260,Ghoul_Leg,"Sharpened Legbone of Ghoul",4,52500,0,1700,150,0,0,0,1,0,4096,2,34,3,65,16,9,0
1261,Infiltrator,Infiltrator,4,57000,0,1500,140,0,3,0,1,0,4096,2,34,4,75,16,0,0
1301,Axe,Axe,4,500,0,1200,35,0,0,0,1,3,6371,2,2,1,3,6,0,0
1302,Axe_,Axe,4,500,0,1200,35,0,0,0,1,4,6371,2,2,1,3,6,0,0
1303,Axe__,Axe,4,500,0,1200,35,0,0,0,1,0,6371,2,2,1,3,6,0,0
1304,Orcish_Axe,"Orcish Axe",4,20,0,2000,60,0,0,0,1,0,6371,2,2,4,3,6,0,0
1305,Cleaver,Cleaver,4,20,0,120,140,0,0,0,1,0,6371,2,2,4,44,6,0,0
1306,War_Axe,"War Axe",4,20,10,4200,160,0,0,0,1,1,2211,2,2,3,76,6,0,0
1351,Battle_Axe,"Battle Axe",4,5400,0,1800,75,0,0,0,1,3,2210,2,34,1,3,7,0,0
1352,Battle_Axe_,"Battle Axe",4,5400,0,1800,75,0,0,0,1,4,2210,2,34,1,3,7,0,0
1353,Battle_Axe__,"Battle Axe",4,5400,0,1800,75,0,0,0,1,0,2210,2,34,1,3,7,0,0
1354,Hammer,Hammer,4,15500,0,2300,110,0,0,0,1,2,2210,2,34,2,16,7,0,0
