//Map_Name,File_Name,Memo_Field,Save_Field,Teleport_Field,PvP_Field,Branch_Field
alberta,100002.vhm,memo,save,teleport,nopvp,nobranch
alberta_in,100003.vhm,nomemo,save,noteleport,nopvp,nobranch
alb_ship,100004.vhm,nomemo,save,teleport,nopvp,branch
aldebaran,100005.vhm,memo,save,teleport,nopvp,nobranch
aldeba_in,100417.vhm,nomemo,save,noteleport,nopvp,nobranch
alde_dun01,100012.vhm,nomemo,save,teleport,nopvp,branch
alde_dun02,100013.vhm,nomemo,save,teleport,nopvp,branch
alde_dun03,100014.vhm,nomemo,save,teleport,nopvp,branch
alde_dun04,100015.vhm,nomemo,save,teleport,nopvp,branch
anthell01,100025.vhm,nomemo,save,teleport,nopvp,branch
anthell02,100026.vhm,nomemo,save,teleport,nopvp,branch
arena_room,100027.vhm,nomemo,save,noteleport,nopvp,branch
c_tower1,100042.vhm,nomemo,save,teleport,nopvp,branch
c_tower2,100043.vhm,nomemo,save,teleport,nopvp,branch
c_tower3,100044.vhm,nomemo,save,teleport,nopvp,branch
c_tower4,100045.vhm,nomemo,save,teleport,nopvp,branch
force_map1,100046.vhm,nomemo,save,noteleport,nopvp,branch
force_map2,100047.vhm,nomemo,save,noteleport,nopvp,branch
force_map3,100048.vhm,nomemo,save,noteleport,nopvp,branch
geffen,100049.vhm,memo,save,teleport,nopvp,nobranch
geffen_in,100050.vhm,nomemo,save,noteleport,nopvp,nobranch
gef_dun00,100054.vhm,nomemo,save,teleport,nopvp,branch
gef_dun01,100055.vhm,nomemo,save,teleport,nopvp,branch
gef_dun02,100056.vhm,nomemo,save,teleport,nopvp,branch
gef_dun03,100057.vhm,nomemo,save,teleport,nopvp,branch
gef_fild00,100058.vhm,memo,save,teleport,nopvp,branch
gef_fild01,100059.vhm,memo,save,teleport,nopvp,branch
gef_fild02,100060.vhm,memo,save,teleport,nopvp,branch
gef_fild03,100061.vhm,memo,save,teleport,nopvp,branch
gef_fild04,100062.vhm,memo,save,teleport,nopvp,branch
gef_fild05,100063.vhm,memo,save,teleport,nopvp,branch
gef_fild06,100064.vhm,memo,save,teleport,nopvp,branch
gef_fild07,100065.vhm,memo,save,teleport,nopvp,branch
gef_fild08,100066.vhm,memo,save,teleport,nopvp,branch
gef_fild09,100067.vhm,memo,save,teleport,nopvp,branch
gef_fild10,100068.vhm,memo,save,teleport,nopvp,branch
