Name,item1,percent1,item2,percent2,item3,percent3,item4,percent4,item5,percent5,item6,percent6,item7,percent7,item8,percent8
SCORPION,990,70,904,5500,757,57,943,210,7041,100,508,200,625,20,4068,1
PORING,909,7000,1202,100,938,400,512,1000,713,1500,741,5,619,20,4001,20
HORNET,992,50,939,5500,909,3500,1208,15,511,350,518,100,512,0,4019,10
FARMILIAR,913,5500,1105,20,2209,15,601,50,514,100,507,700,645,50,4020,1
FABRE,914,6500,949,500,1502,80,721,5,511,700,705,1000,1501,200,4002,15
PUPA,1010,80,915,5500,938,600,2102,2,935,1000,938,600,1002,300,4003,7
CONDOR,917,6500,1702,150,715,80,1750,5500,517,400,916,2000,512,0,4015,2
WILLOW,902,6500,1019,100,507,600,516,700,1068,3500,1067,2000,1066,1000,4010,7
CHONCHON,998,50,935,6500,909,1500,1205,55,601,100,742,5,1002,250,4009,5
RODA_FROG,918,5500,908,500,511,300,721,7,713,2000,512,0,512,0,4014,5
WOLF,1011,20,920,5500,2308,10,517,650,528,1050,919,5500,512,0,4029,5
SPORE,921,5000,507,800,510,50,743,5,2220,40,512,0,512,0,4022,5
ZOMBIE,957,5500,724,5,938,1000,958,50,727,55,512,0,512,0,4038,1
ARCHER_SKELETON,932,4500,756,70,2285,2,1708,15,1752,1000,501,800,1701,150,4094,1
CREAMY,924,5500,2322,10,518,150,602,100,2207,2,712,500,512,0,4040,3
PECOPECO,925,5500,2402,20,508,50,507,900,1604,100,512,0,512,0,4031,3
MANDRAGORA,993,50,905,5500,1405,30,511,350,711,300,706,1,512,0,4030,1
WERE_WOLF,999,500,1034,4000,984,500,985,500,7017,800,714,380,1912,300,4091,50
ORC_WARRIOR,998,210,931,5500,756,40,2267,3,1352,10,1304,5,1301,100,4066,1
WORM_TAIL,993,60,1011,25,906,5500,1408,30,508,70,721,5,10015,10,4034,5
SNAKE,926,5500,1117,15,507,900,1011,35,512,0,512,0,512,0,4037,1
MUNAK,901,5500,2264,1,2404,15,609,20,2337,1,2305,100,1558,5,4090,3
SOLDIER_SKELETON,932,5500,756,60,1214,12,501,700,934,10,1201,150,512,0,4086,1
ISIS,936,5500,2233,5,2603,1,733,150,732,20,954,1000,731,5,4116,1
ANACONDAQ,1011,50,937,5500,1455,10,926,1500,936,200,508,150,756,38,4062,1
POPORING,938,5500,910,1500,511,500,514,200,729,5,512,0,512,0,4033,5
VERIT,929,5500,912,700,930,1100,509,550,512,0,2612,200,639,20,4107,1
ELDER_WILLOW,990,50,907,5500,1019,350,757,37,2329,30,516,1000,604,100,4052,1
THARA_FROG,1011,45,908,5500,911,600,509,30,725,5,918,2000,512,0,4058,1
HUNTER_FLY,996,30,999,100,943,5500,912,1300,756,129,2259,1,1226,2,4115,1
GHOUL,958,5500,756,110,509,670,506,800,2609,60,934,150,1260,0,4110,2
SIDE_WINDER,954,5500,912,1400,756,134,1120,2,937,2500,926,5000,509,1000,4117,1
OSIRIS,984,3900,2235,200,617,2000,1232,150,1255,600,1009,1000,5053,150,4144,1
BAPHOMET,1466,200,2607,800,2256,200,984,4300,617,3000,714,500,985,5600,4147,1
GOLEM,999,150,953,5500,911,1200,757,61,1003,120,715,200,512,0,4072,3
MUMMY,930,5500,756,100,934,100,2604,1,2611,10,512,0,512,0,4106,1
STEEL_CHONCHON,992,70,999,30,910,2400,935,3500,943,30,998,200,1002,500,4042,1
OBEAUNE,995,13,950,5500,5014,1,2326,10,720,5,951,500,512,0,4093,2
MARC,995,18,956,5500,756,95,951,1000,720,10,717,200,509,600,4105,1
DOPPELGANGER,2258,350,1162,220,984,2700,2317,250,1168,150,985,3800,1410,550,4142,1
PECOPECO_EGG,1010,250,935,1500,2102,2,501,400,501,400,713,1800,736,10,4007,2
THIEF_BUG_EGG,1010,300,915,5000,2102,2,938,600,716,100,737,10,1002,350,4012,7
PICKY,916,6500,949,700,2302,150,507,550,519,300,715,50,512,0,4008,10
PICKY_,916,6500,949,700,5015,10,507,600,519,300,715,50,10012,10,4011,10
THIEF_BUG,955,2500,2304,80,507,350,909,2000,2303,120,1002,350,512,0,4016,10
