Name,Item1,Item2,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per
WERE_WOLF,0,0,5600,12000,1141,1000,714,500,512,0
OSIRIS,0,0,7710,12000,603,4000,608,3000,751,500
BAPHOMET,0,0,13000,12000,607,2000,750,500,923,5000
DOPPELGANGER,0,0,5340,12000,724,1500,505,6000,512,0
MISTRESS,0,0,2569,5000,996,1500,526,4000,722,3000
GOLDEN_BUG,0,0,25,5000,2610,2000,701,1000,512,0
ORC_HERO,0,0,4500,0,725,2000,607,1500,999,5000
DRAKE,0,0,4300,5000,504,5000,719,500,512,0
EDDGA,0,0,6179,5000,1029,5000,1030,1000,994,3000
MAYA,0,0,10500,5000,730,2000,603,3000,617,2000
MOONLIGHT,0,0,1250,5000,1022,5000,504,1500,728,500
PHARAOH,0,0,1,5000,607,6000,526,2000,730,1000
PHREEONI,0,0,2700,5000,1008,500,730,1000,1000,4000
ORC_LORD,0,0,12800,5000,968,5500,617,2000,512,0
STORMY_KNIGHT,0,0,1,5000,720,4500,2406,500,995,3000
GARM,0,0,1,5000,7036,1000,603,3000,995,3000
DARK_LORD,0,0,1,5000,7005,6000,617,2000,512,0
TURTLE_GENERAL,0,0,1,5000,967,5500,607,1500,617,2000
LORD_OF_DEATH,0,0,1,5000,607,5500,732,2000,617,2000
DRACULA,0,0,1,5000,607,5000,732,3000,522,1000
EVENT_BAPHO,0,0,608,0,607,1000,526,500,732,100
INCANTATION_SAMURAI,0,0,5000,1000,607,6000,608,1000,985,2000
DARK_SNAKE_LORD,0,0,34288,1230,607,6000,985,3000,512,0
EVENT_PORING,0,0,9999,5000,512,0,512,0,512,0
AMON_RA,0,0,1,18000,1009,100,730,500,512,0
TAO_GUNKA,0,0,1,18000,512,100,512,500,512,0
