ID,Name,"Display name",LV,HP,SP,exp,jexp,aRan,atk1,atk2(atk1+atk2),def,mdef,str,agi,vit,int,dex,luk,Range2(as),Range3(es),scale,race,Element(property),mode,Mspeed,aDelay(rechargeTime),aMotion(attackMT),dMotion(attackedMT)
1001,SCORPION,Scorpion,24,1109,0,287,176,1,80,135,30,0,1,24,24,5,52,5,10,12,0,4,23,21,200,1564,864,576
1002,PORING,Poring,1,50,0,2,1,1,7,10,0,5,1,1,1,1,6,1,10,12,1,3,21,3,400,1872,672,480
1003,THIEF_BUG_EGG_1,"Thief Bug Egg",4,48,0,8,4,0,13,17,0,0,1,6,4,0,14,20,10,12,0,4,27,0,1000,701,1,1
1004,HORNET,Hornet,8,169,0,19,15,1,22,27,5,5,1,20,8,10,17,10,10,12,0,4,24,9,150,1292,792,216
1005,FAMILIAR,Farmiliar,8,155,0,28,15,1,20,28,0,0,1,12,8,5,28,5,10,12,0,2,27,5,150,1276,576,384
1006,THIEF_BUG_1,"Thief Bug",6,126,0,17,5,1,18,24,5,0,1,6,6,0,11,0,10,12,0,0,60,11,150,1288,288,768
1007,FABRE,Fabre,2,63,0,3,2,1,7,10,0,0,1,2,4,1,7,1,10,12,0,4,22,1,400,1672,672,480
1008,PUPA,Pupa,2,427,0,2,4,0,1,2,0,20,1,1,1,1,1,1,10,12,0,4,22,0,1000,1001,1,1
1009,CONDOR,Condor,5,92,0,6,5,1,11,14,0,0,1,13,5,1,13,1,10,12,1,2,24,1,150,1148,648,480
1010,WILLOW,Willow,4,95,0,5,4,1,9,12,5,15,1,4,8,30,9,30,10,12,1,3,22,1,200,1672,672,432
1011,CHONCHON,Chonchon,4,67,0,5,4,1,10,13,10,0,1,10,4,5,12,5,10,12,0,4,24,1,200,1076,576,480
1012,RODA_FROG,"Roda Frog",5,133,0,6,5,1,11,14,0,5,1,5,5,5,10,5,10,12,1,5,21,1,200,2016,816,288
1013,WOLF,Wolf,12,405,0,45,32,1,37,46,0,0,1,12,24,15,30,15,10,12,1,2,22,9,200,1054,54,432
1014,SPORE,Spore,9,327,0,22,17,1,24,29,0,5,1,9,9,1,14,1,10,12,1,3,21,1,200,1872,672,288
1015,ZOMBIE,Zombie,15,534,0,50,33,1,67,79,0,10,1,8,7,1,15,1,10,12,1,1,29,5,400,2612,912,288
1016,ARCHER_SKELETON,"Archer Skeleton",31,3040,0,483,283,9,128,153,0,0,1,8,14,5,90,5,10,12,1,1,29,5,300,2864,864,576
1017,FEMALE_THIEF_BUG,"Female Thief Bug",10,170,0,35,18,1,33,40,5,5,1,15,10,5,23,5,10,12,1,4,27,11,200,988,288,768
1018,CREAMY,Creamy,16,595,0,105,70,1,53,64,0,30,1,40,16,15,16,15,10,12,0,4,24,1,150,1136,720,840
1019,PECOPECO,Pecopeco,13,531,0,85,36,1,35,46,0,0,1,13,13,25,27,25,10,12,2,2,23,9,200,1564,864,576
1020,MANDRAGORA,Mandragora,12,405,0,45,32,4,26,35,0,25,1,12,24,1,36,1,10,12,1,3,62,4,1000,1768,768,576
1021,MALE_THIEF_BUG,"Male Thief Bug",19,583,0,223,93,1,76,88,15,5,1,29,16,5,36,0,10,12,1,4,27,13,300,988,288,768
1022,WERE_WOLF,"Were Wolf",80,28600,0,11813,7289,1,2560,3280,65,35,1,97,60,1,135,1,10,10,2,0,40,53,200,1500,768,652
1023,ORC_WARRIOR,"Orc Warrior",24,1400,0,261,160,1,104,126,10,5,1,24,48,25,34,25,10,12,1,7,22,5,200,1864,864,288
1024,WORM_TAIL,"Worm Tail",14,426,0,59,40,2,42,51,5,10,1,14,28,5,46,5,10,12,1,3,22,17,200,1048,48,192
1025,SNAKE,Snake,15,471,0,72,48,1,46,55,0,0,1,15,15,10,35,10,10,12,1,2,22,1,200,1576,576,576
1026,MUNAK,Munak,30,2872,0,361,218,1,180,230,0,0,1,15,20,5,46,5,10,12,1,1,29,5,200,2468,768,288
1027,RAPTICE,Raptice,17,600,0,100,55,1,0,0,5,10,5,20,20,0,28,0,10,12,1,2,22,3,400,1872,672,480
1028,OLDIER_SKELETON,"Soldier Skeleton",29,2334,0,372,226,1,221,245,10,15,1,15,22,5,40,5,10,12,1,1,29,5,200,2276,576,432
1029,ISIS,Isis,43,4828,0,2396,993,1,423,507,10,35,1,65,43,30,72,30,10,12,2,6,27,21,200,1384,768,336
1030,ANACONDAQ,Anacondaq,23,1109,0,300,149,1,124,157,0,0,1,23,28,10,36,10,10,12,1,2,25,17,200,1576,576,576
1031,POPORING,Poporing,14,344,0,81,44,1,59,72,0,10,1,14,14,1,19,1,10,12,1,3,25,3,300,1672,672,480
1032,VERIT,Verit,38,5272,0,835,517,1,389,469,0,5,1,19,38,1,38,1,10,12,1,1,29,3,250,2468,768,480
1033,ELDER_WILLOW,"Elder Willow",20,693,0,163,101,1,58,70,10,30,1,20,25,35,38,35,10,12,1,3,43,5,200,1372,672,432
1034,THARA_FROG,"Thara Frog",22,2152,0,219,138,1,105,127,0,10,1,22,22,5,34,5,10,12,1,5,41,1,200,2016,816,288
1035,HUNTER_FLY,"Hunter Fly",42,5242,0,1517,952,1,246,333,25,15,1,105,32,15,72,15,10,12,0,4,44,5,150,676,576,480
1036,GHOUL,Ghoul,39,5118,0,882,541,1,420,500,5,20,1,20,29,1,33,1,10,12,1,1,49,5,250,2456,912,504
1037,SIDE_WINDER,"Side Winder",43,4929,0,1996,993,1,240,320,5,10,1,43,40,15,115,15,10,12,1,2,25,21,200,1576,576,576
1038,OSIRIS,Osiris,78,415400,0,71500,28600,1,780,2880,10,25,1,75,62,37,86,37,10,10,1,1,89,53,100,1072,672,384
1039,BAPHOMET,Baphomet,81,668000,0,107250,37895,2,3220,4040,35,45,1,152,96,85,120,85,10,10,2,6,67,53,100,1068,768,576
1040,GOLEM,Golem,25,3900,0,465,94,1,175,187,40,0,1,15,25,0,15,0,10,12,2,0,60,17,300,1608,816,396
1041,MUMMY,Mummy,37,5176,0,488,314,1,305,360,0,10,1,19,32,0,63,0,10,12,1,1,49,5,300,1772,72,384
1042,STEEL_CHONCHON,"Steel Chonchon",17,530,0,109,71,1,54,65,15,0,1,43,17,5,33,5,10,12,0,4,24,11,150,1076,576,480
1043,SEAHORSE,"Sea Horse",18,1452,0,122,78,1,100,150,15,7,1,1,1,1,1,1,10,12,0,5,22,3,400,1872,672,480
1044,OBEAUNE,Obeaune,31,3952,0,644,407,1,141,165,0,40,1,31,31,55,74,55,10,12,1,5,41,21,200,1872,672,288
1045,MARC,Marc,36,6900,0,988,625,1,220,280,5,10,1,36,36,20,56,20,10,12,1,5,41,5,150,1272,72,480
1046,DOPPELGANGER,Doppelganger,72,249000,0,51480,10725,1,1340,1590,60,35,1,90,90,35,125,35,10,10,1,6,67,53,100,480,480,288
1047,PECOPECO_EGG,"Pecopeco Egg",3,420,0,4,4,0,1,2,20,20,1,1,1,0,1,0,10,12,0,0,60,0,1000,1001,1,1
1048,THIEF_BUG_EGG,"Thief Bug Egg",4,48,0,8,4,0,13,17,20,0,1,6,4,0,14,0,10,12,0,4,27,0,1000,701,1,1
1049,PICKY,Picky,3,80,0,4,3,1,9,12,0,0,1,3,3,5,10,5,10,12,0,2,23,1,200,988,288,168
1050,PICKY_,"Super Picky",4,83,0,5,4,1,8,11,20,0,1,3,3,10,11,10,10,12,0,2,23,1,200,988,288,168
1051,THIEF_BUG,"Thief Bug",6,126,0,17,5,1,18,24,5,0,1,6,6,0,11,0,10,12,0,0,60,11,150,1288,288,768
1052,ROCKER,Rocker,9,198,0,20,16,1,24,29,5,10,1,9,18,10,14,10,10,12,1,4,22,1,200,1864,864,540
1053,THIEF_BUG_,"Thief Bug",10,170,0,35,18,1,33,40,5,5,1,15,10,5,23,5,10,12,1,4,27,11,200,988,288,768
1054,THIEF_BUG__,"Thief Bug",19,583,0,223,93,1,76,88,15,5,1,29,16,5,36,5,10,12,1,4,27,13,300,988,288,768
1055,MUKA,Muka,15,570,0,72,48,1,40,49,5,5,1,15,30,5,20,5,10,12,2,3,22,1,300,1960,960,384
1056,SMOKIE,Smokie,18,641,0,134,86,1,61,72,0,10,1,18,36,25,26,25,10,12,0,2,22,17,200,1576,576,420
1057,YOYO,Yoyo,19,879,0,148,93,1,71,82,0,0,1,24,30,35,32,35,10,12,0,2,22,11,200,1054,54,384
1058,METALLER,Metaller,22,926,0,241,152,1,131,159,15,30,1,22,22,20,49,20,10,12,1,4,23,11,200,1708,1008,540
1059,MISTRESS,Mistress,74,212000,0,39325,27170,1,880,1110,40,60,1,165,60,95,70,95,10,12,0,4,84,53,100,1148,648,300
1060,BIGFOOT,Bigfoot,25,1619,0,310,188,1,198,220,10,0,1,25,55,15,20,15,10,12,2,2,22,1,300,1260,192,192
1061,NIGHTMARE,Nightmare,49,4437,0,1729,1787,1,447,529,0,40,1,74,25,15,64,15,10,12,2,6,68,21,150,1816,816,432
1062,PORING_,"Santa Poring",3,69,0,4,5,1,12,16,0,0,1,14,3,10,12,10,10,12,1,3,26,1,400,1672,672,480
1063,LUNATIC,Lunatic,3,60,0,6,2,1,9,12,0,20,1,3,3,10,8,10,10,12,0,2,60,1,200,1456,456,336
1064,MEGALODON,Megalodon,24,1648,0,215,132,1,155,188,0,15,1,12,24,0,26,0,10,12,1,1,29,1,200,2492,792,432
1065,STROUF,Strouf,40,9952,0,1238,752,1,200,350,5,50,1,40,45,72,43,72,10,12,2,5,61,5,150,1872,672,384
1066,VADON,Vadon,19,1017,0,135,85,1,74,85,20,0,1,19,16,10,36,10,10,12,0,5,21,17,300,1632,432,540
1067,CORNUTUS,Cornutus,23,1620,0,240,149,1,109,131,30,0,1,23,23,5,36,5,10,12,0,5,21,17,200,1248,48,480
1068,HYDRA,Hydra,14,660,0,59,40,7,22,28,0,40,1,14,14,0,40,0,10,12,0,3,41,4,1000,800,432,600
1069,SWORDFISH,Swordfish,30,4299,0,529,319,1,168,199,5,20,1,30,30,41,62,41,10,12,2,5,41,5,200,1968,768,384
1070,KUKRE,Kukre,11,507,0,38,28,1,28,37,15,0,1,11,11,5,16,5,10,12,0,5,21,3,150,1776,576,288
1071,PIRATE_SKELETON,"Pirate Skeleton",25,1676,0,233,142,1,145,178,10,15,1,13,25,5,25,5,10,12,1,1,29,5,200,1754,554,288
1072,KAHO,Kaho,24,1141,0,287,176,1,128,156,0,50,1,24,24,25,44,25,10,12,1,6,83,5,200,1700,1000,500
1073,CRAB,Crab,20,2451,0,163,101,1,71,81,35,0,1,20,15,1,36,1,7,12,0,5,21,17,200,992,792,360
1074,SHELLFISH,Shellfish,15,920,0,66,44,1,35,42,35,0,1,12,8,1,32,1,10,12,0,5,21,17,200,864,864,384
1075,TURTLE,Turtle,3,77,0,0,0,1,1,2,35,0,1,1,1,1,1,1,7,12,0,5,22,1,200,500,500,500
1076,SKELETON,Skeleton,10,234,0,18,14,1,39,47,10,5,1,5,10,1,12,1,10,12,1,1,29,17,200,2228,528,576
1077,POISON_SPORE,"Poison Spore",19,665,0,186,93,1,89,101,0,0,1,19,25,1,24,1,10,12,1,3,25,5,200,1672,672,288
1078,RED_PLANT,"Red Plant",1,10,0,0,0,0,1,2,100,99,1,1,1,1,1,1,7,12,0,3,22,0,2000,1,1,1
1079,BLUE_PLANT,"Blue Plant",1,10,0,0,0,0,1,2,100,99,1,1,1,1,1,1,7,12,0,3,22,0,2000,1,1,1
1080,GREEN_PLANT,"Green Plant",1,10,0,0,0,0,1,2,100,99,1,1,1,1,1,1,7,12,0,3,22,0,2000,1,1,1
1081,YELLOW_PLANT,"Yellow Plant",1,10,0,0,0,0,1,2,100,99,1,1,1,1,1,1,7,12,0,3,22,0,2000,1,1,1
1082,WHITE_PLANT,"White Plant",1,10,0,0,0,0,1,2,100,99,1,1,1,1,1,1,7,12,0,3,22,0,2000,1,1,1
1083,SHINING_PLANT,"Shining Plant",1,20,0,0,0,0,1,2,100,99,1,1,1,1,1,1,7,12,0,3,26,0,2000,1,1,1
1084,BLACK_MUSHROOM,"Black Mushroom",1,15,0,0,0,0,1,2,100,99,1,1,1,1,1,1,7,12,0,3,22,0,2000,1,1,1
1085,RED_MUSHROOM,"Red Mushroom",1,15,0,0,0,0,1,2,100,99,1,1,1,1,1,1,7,12,0,3,22,0,2000,1,1,1
1086,GOLDEN_BUG,"Golden Thief Bug",64,126000,0,14300,7150,1,870,1145,60,45,1,75,35,45,85,45,10,12,2,4,43,11,100,768,768,480
1087,ORC_HERO,"Orc Hero",77,295700,0,58630,32890,1,2257,2542,40,45,1,91,99,70,105,70,10,10,2,7,42,53,150,1678,780,648
1088,VOCAL,Vocal,18,3016,0,110,88,1,71,82,10,30,1,28,26,30,53,30,10,10,1,4,22,21,200,1080,648,480
1089,TOAD,Toad,10,5065,0,100,50,1,26,32,0,0,1,5,10,10,10,10,10,10,1,5,21,21,200,1236,336,432
1090,MASTERING,Mastering,2,2415,0,30,10,1,18,24,0,10,1,2,2,0,17,0,10,10,1,3,21,21,300,1072,672,480
1091,DRAGON_FLY,"Dragon Fly",8,2400,0,88,44,1,22,27,40,0,1,20,8,15,17,15,10,10,0,4,24,21,100,1076,576,480
1092,VAGABOND_WOLF,"Vagabond Wolf",24,12240,0,247,176,1,135,159,10,0,1,45,48,20,50,20,10,10,1,2,22,21,150,1048,648,432
1093,ECLIPSE,Eclipse,6,1800,0,60,55,1,20,26,0,40,1,36,6,0,11,0,10,10,0,2,60,21,200,1456,456,336
1094,AMBERNITE,Ambernite,13,495,0,57,38,1,39,46,30,0,1,13,13,5,18,5,10,12,2,4,21,17,400,2048,648,648
1095,ANDRE,Andre,17,688,0,109,71,1,60,71,10,0,1,17,24,20,26,20,10,12,0,4,22,11,300,1288,288,384
1096,ANGELING,Angeling,20,55000,0,163,144,1,120,195,0,70,1,50,20,75,68,75,10,10,1,8,86,21,200,1272,672,672
1097,ANT_EGG,"Ant Egg",4,420,0,5,4,0,1,2,20,20,1,1,1,1,1,1,10,12,0,0,60,0,1000,1001,1,1
1098,ANUBIS,Anubis,55,12359,0,2906,2700,1,688,812,0,45,1,69,55,75,95,75,10,12,1,8,26,53,200,2000,1000,500
1099,ARGIOPE,Argiope,41,4382,0,1797,849,1,395,480,30,0,1,41,31,10,56,10,10,12,2,4,25,53,300,1792,792,336
1100,ARGOS,Argos,25,1117,0,388,188,1,158,191,15,0,1,25,25,5,32,5,10,12,2,4,25,21,300,1468,468,768
1101,BAPHOMET_,"Baphomet Jr",50,8578,0,2706,1480,1,487,590,15,25,1,75,55,1,93,1,10,12,0,6,27,53,100,868,480,120
1102,BATHORY,Bathory,44,5415,0,2503,1034,1,198,398,0,60,1,76,24,85,65,85,10,12,1,7,27,53,100,1504,840,900
1103,CARAMEL,Caramel,23,1424,0,264,162,1,90,112,5,5,1,23,46,5,38,5,10,12,0,2,22,17,200,1604,840,756
1104,COCO,Coco,17,817,0,120,78,1,56,67,0,0,1,17,34,20,24,20,10,12,0,2,22,17,150,1864,864,1008
1105,DENIRO,Deniro,19,760,0,135,85,1,68,79,15,0,1,19,30,20,43,20,10,12,0,4,22,11,150,1288,288,576
