//NAME,STATE,SKILL_ID,SKILL_LV,PERCENT,CASTINT_TIME,COOL_DOWN,DISPELL,IF_CASE,IF_VALUE
ALARM,BERSERK_ST,NPC_BLINDATTACK,3,50,0,5000,0,0,0
ALARM,BERSERK_ST,NPC_DARKBREATH,2,50,800,5000,NO_DISPEL,0,0
ALARM,RUSH_ST,NPC_EMOTION,1,20,0,5000,0,0,0
ALARM,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
ALARM,BERSERK_ST,NPC_SPLASHATTACK,1,200,0,5000,0,IF_ENEMYCOUNT,2
ALICE,IDLE_ST,AL_HEAL,9,1000,500,5000,0,IF_COMRADEHP,60
ALICE,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
ALICE,BERSERK_ST,CR_SHIELDCHARGE,3,200,0,5000,NO_DISPEL,0,0
ALICE,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
ALICE,IDLE_ST,NPC_SUMMONSLAVE,1,50,2000,60000,NO_DISPEL,IF_SLAVENUM,0
ALICE,RUSH_ST,SA_DISPELL,5,50,0,30000,0,0,0
ALICE,BERSERK_ST,SA_DISPELL,5,50,0,30000,0,0,0
ALLIGATOR,RUSH_ST,NPC_EMOTION,1,20,0,5000,0,0,0
ALLIGATOR,BERSERK_ST,NPC_WATERATTACK,2,50,500,5000,NO_DISPEL,0,0
AM_MUT,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
AM_MUT,RUSH_ST,AM_ACIDTERROR,5,50,0,5000,0,0,0
AM_MUT,BERSERK_ST,MC_MAMMONITE,9,50,800,5000,NO_DISPEL,0,0
AM_MUT,BERSERK_ST,NPC_DARKNESSATTACK,3,50,500,5000,NO_DISPEL,0,0
AM_MUT,RMOVE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
AM_MUT,IDLE_ST,NPC_SUMMONSLAVE,1,1000,2000,60000,NO_DISPEL,IF_SLAVENUM,0
AMBERNITE,RMOVE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
AMBERNITE,BERSERK_ST,NPC_KEEPING,1,200,0,5000,0,IF_ENEMYCOUNT,2
AMBERNITE,BERSERK_ST,NPC_WATERATTACK,1,200,0,5000,0,0,0
ANACONDAQ,BERSERK_ST,NPC_POISON,3,50,800,5000,NO_DISPEL,0,0
ANACONDAQ,BERSERK_ST,NPC_POISONATTACK,1,200,0,5000,0,0,0
ANCIENT_MUMMY,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
ANCIENT_MUMMY,BERSERK_ST,NPC_DARKBREATH,3,50,800,5000,NO_DISPEL,0,0
ANCIENT_WORM,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
ANCIENT_WORM,BERSERK_ST,AS_VENOMDUST,1,50,1500,5000,NO_DISPEL,0,0
ANCIENT_WORM,BERSERK_ST,NPC_POISON,5,50,800,5000,NO_DISPEL,0,0
ANCIENT_WORM,IDLE_ST,NPC_SUMMONSLAVE,1,1000,2000,60000,NO_DISPEL,IF_SLAVENUM,0
ANDRE,MOVEITEM_ST,NPC_EMOTION,1,200,0,5000,0,0,0
ANDRE,BERSERK_ST,NPC_GROUNDATTACK,2,50,500,5000,NO_DISPEL,0,0
ANGELING,BERSERK_ST,AL_HEAL,9,1000,500,5000,NO_DISPEL,IF_COMRADEHP,60
ANGELING,RUSH_ST,AL_HEAL,9,1000,500,5000,NO_DISPEL,IF_COMRADEHP,60
ANGELING,BERSERK_ST,AL_HEAL,9,1000,500,5000,NO_DISPEL,IF_HP,30
ANGELING,RUSH_ST,AL_HEAL,9,1000,500,5000,NO_DISPEL,IF_HP,30
ANGELING,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
ANGELING,BERSERK_ST,MG_SAFETYWALL,5,100,1000,5000,NO_DISPEL,0,0
ANGELING,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
ANGELING,BERSERK_ST,NPC_HOLYATTACK,5,50,500,5000,NO_DISPEL,0,0
ANGELING,RUSH_ST,NPC_HOLYATTACK,5,50,500,5000,NO_DISPEL,0,0
ANGELING,BERSERK_ST,NPC_SUMMONSLAVE,1,1000,2000,60000,NO_DISPEL,IF_SLAVENUM,3
ANGELING,IDLE_ST,NPC_SUMMONSLAVE,1,1000,2000,60000,NO_DISPEL,IF_SLAVENUM,3
ANGELING,RUSH_ST,SA_REVERSEORCISH,1,50,0,30000,0,0,0
ANGELING,BERSERK_ST,SA_REVERSEORCISH,1,50,0,30000,0,0,0
ANOLIAN,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
ANOLIAN,RUSH_ST,NPC_EMOTION,1,20,0,5000,0,0,0
ANOLIAN,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
ANOLIAN,BERSERK_ST,NPC_WATERATTACK,1,200,0,5000,0,0,0
ANOLIAN,BERSERK_ST,SM_BASH,5,50,800,5000,NO_DISPEL,0,0
ANT_EGG,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
ANT_EGG,IDLE_ST,NPC_METAMORPHOSIS,1,1,2000,5000,NO_DISPEL,0,0
ANTIQUE_FIRELOCK,BERSERK_ST,NPC_FIREATTACK,3,50,500,5000,NO_DISPEL,0,0
ANTONIO,BERSERK_ST,AL_TELEPORT,1,100,0,5000,0,0,0
ANTONIO,IDLE_ST,AL_TELEPORT,1,100,0,5000,0,0,0
ANTONIO,RUSH_ST,AL_TELEPORT,1,100,0,5000,0,0,0
APOCALIPS,BERSERK_ST,CR_AUTOGUARD,5,50,0,300000,0,0,0
APOCALIPS,RUSH_ST,CR_AUTOGUARD,5,200,0,300000,0,IF_RANGEATTACKED,0
APOCALIPS,BERSERK_ST,KN_BRANDISHSPEAR,5,100,1000,5000,NO_DISPEL,0,0
APOCALIPS,BERSERK_ST,NPC_SELFDESTRUCTION,1,100,2000,5000,NO_DISPEL,IF_ENEMYCOUNT,2
ARCHER_GUARDIAN,BERSERK_ST,AC_CHARGEARROW,1,200,0,5000,0,0,0
ARCHER_GUARDIAN,BERSERK_ST,AC_DOUBLE,1,200,1000,5000,NO_DISPEL,0,0
ARCHER_SKELETON,BERSERK_ST,AC_DOUBLE,1,50,1000,5000,NO_DISPEL,0,0
ARCLOUSE,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
ARCLOUSE,RUSH_ST,NPC_EMOTION,1,20,0,5000,0,0,0
ARCLOUSE,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
ARCLOUSE,BERSERK_ST,NPC_GROUNDATTACK,1,200,0,5000,0,0,0
ARGIOPE,BERSERK_ST,AS_VENOMDUST,1,50,1500,5000,NO_DISPEL,0,0
ARGIOPE,RUSH_ST,NPC_EMOTION,1,20,0,5000,0,0,0
ARGIOPE,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
ARGIOPE,BERSERK_ST,NPC_POISON,3,50,800,5000,NO_DISPEL,0,0
ARGIOPE,BERSERK_ST,NPC_POISONATTACK,2,50,500,5000,NO_DISPEL,0,0
ARGOS,BERSERK_ST,NPC_POISON,2,50,800,5000,NO_DISPEL,0,0
ARGOS,BERSERK_ST,NPC_POISONATTACK,1,200,0,5000,0,0,0
ASSULTER,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
ASSULTER,BERSERK_ST,AS_SONICBLOW,10,50,800,5000,NO_DISPEL,0,0
ASSULTER,RUSH_ST,NPC_EMOTION,1,20,0,5000,0,0,0
ASSULTER,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
ASSULTER,BERSERK_ST,NPC_EMOTION,1,200,0,600000,0,IF_HP,20
ASSULTER,RUSH_ST,NPC_SUMMONSLAVE,1,1000,0,600000,0,IF_HP,10
ASSULTER,BERSERK_ST,NPC_WINDATTACK,3,50,500,5000,NO_DISPEL,0,0
ASSULTER,BERSERK_ST,TF_BACKSLIDING,1,1000,500,600000,NO_DISPEL,IF_HP,10
BABY_LEOPARD,BERSERK_ST,NPC_CRITICALSLASH,1,50,500,5000,NO_DISPEL,0,0
BABY_LEOPARD,ANGRY_ST,NPC_CRITICALSLASH,1,50,500,5000,NO_DISPEL,0,0
BABY_LEOPARD,RMOVE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
BAPHOMET_,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
BAPHOMET_,BERSERK_ST,NPC_CURSEATTACK,3,50,800,5000,NO_DISPEL,0,0
BAPHOMET_,BERSERK_ST,NPC_DARKNESSATTACK,2,50,500,5000,NO_DISPEL,0,0
BAPHOMET_,RMOVE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
BAPHOMET_,RUSH_ST,NPC_EMOTION,1,20,0,5000,0,0,0
BAPHOMET_,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
